variant,block_label,repetition,block,stage,seconds
sync,fp16;blocks=36;matmul=4096,2,9,compute,0.040891521
sync,fp16;blocks=36;matmul=4096,2,10,compute,0.042919487
sync,fp16;blocks=36;matmul=4096,2,11,compute,0.041877728
sync,fp16;blocks=36;matmul=4096,2,12,compute,0.044545376
sync,fp16;blocks=36;matmul=4096,2,13,compute,0.045675522
sync,fp16;blocks=36;matmul=4096,2,14,compute,0.042987679
sync,fp16;blocks=36;matmul=4096,2,15,compute,0.045670815
sync,fp16;blocks=36;matmul=4096,2,16,compute,0.047544384
sync,fp16;blocks=36;matmul=4096,2,17,compute,0.050789886
sync,fp16;blocks=36;matmul=4096,2,18,compute,0.137767075
sync,fp16;blocks=36;matmul=4096,2,19,compute,0.017546848
sync,fp16;blocks=36;matmul=4096,2,20,compute,0.018549408
sync,fp16;blocks=36;matmul=4096,2,21,compute,0.018701088
sync,fp16;blocks=36;matmul=4096,2,22,compute,0.034404385
sync,fp16;blocks=36;matmul=4096,2,23,compute,0.036153824
sync,fp16;blocks=36;matmul=4096,2,24,compute,0.035357281
sync,fp16;blocks=36;matmul=4096,2,25,compute,0.040440514
sync,fp16;blocks=36;matmul=4096,2,26,compute,0.036708481
sync,fp16;blocks=36;matmul=4096,2,27,compute,0.037092705
sync,fp16;blocks=36;matmul=4096,2,28,compute,0.040674786
sync,fp16;blocks=36;matmul=4096,2,29,compute,0.041109856
sync,fp16;blocks=36;matmul=4096,2,30,compute,0.041471104
sync,fp16;blocks=36;matmul=4096,2,31,compute,0.041331711
sync,fp16;blocks=36;matmul=4096,2,32,compute,0.038539776
sync,fp16;blocks=36;matmul=4096,2,33,compute,0.047332577
sync,fp16;blocks=36;matmul=4096,2,34,compute,0.159491455
sync,fp16;blocks=36;matmul=4096,2,35,compute,0.018398912
sync,fp16;blocks=36;matmul=4096,3,0,read,0.406401700
sync,fp16;blocks=36;matmul=4096,3,1,read,0.610313100
sync,fp16;blocks=36;matmul=4096,3,2,read,0.264434200
sync,fp16;blocks=36;matmul=4096,3,3,read,0.565775200
sync,fp16;blocks=36;matmul=4096,3,4,read,0.145966300
sync,fp16;blocks=36;matmul=4096,3,5,read,0.604557900
sync,fp16;blocks=36;matmul=4096,3,6,read,0.267020800
sync,fp16;blocks=36;matmul=4096,3,7,read,0.582635800
sync,fp16;blocks=36;matmul=4096,3,8,read,0.150025300
sync,fp16;blocks=36;matmul=4096,3,9,read,0.605868900
sync,fp16;blocks=36;matmul=4096,3,10,read,0.255741100
sync,fp16;blocks=36;matmul=4096,3,11,read,0.582076700
sync,fp16;blocks=36;matmul=4096,3,12,read,0.275366900
sync,fp16;blocks=36;matmul=4096,3,13,read,0.608902600
sync,fp16;blocks=36;matmul=4096,3,14,read,0.260190900
sync,fp16;blocks=36;matmul=4096,3,15,read,0.575482700
sync,fp16;blocks=36;matmul=4096,3,16,read,0.507166100
sync,fp16;blocks=36;matmul=4096,3,17,read,0.612739300
sync,fp16;blocks=36;matmul=4096,3,18,read,0.261577500
sync,fp16;blocks=36;matmul=4096,3,19,read,0.578503100
sync,fp16;blocks=36;matmul=4096,3,20,read,0.148618000
sync,fp16;blocks=36;matmul=4096,3,21,read,0.623264300
sync,fp16;blocks=36;matmul=4096,3,22,read,0.276601900
sync,fp16;blocks=36;matmul=4096,3,23,read,0.574896700
sync,fp16;blocks=36;matmul=4096,3,24,read,0.146779000
sync,fp16;blocks=36;matmul=4096,3,25,read,0.610864100
sync,fp16;blocks=36;matmul=4096,3,26,read,0.256365400
sync,fp16;blocks=36;matmul=4096,3,27,read,0.577910800
sync,fp16;blocks=36;matmul=4096,3,28,read,0.522576800
sync,fp16;blocks=36;matmul=4096,3,29,read,0.398443400
sync,fp16;blocks=36;matmul=4096,3,30,read,0.502825100
sync,fp16;blocks=36;matmul=4096,3,31,read,0.589105800
sync,fp16;blocks=36;matmul=4096,3,32,read,0.419317100
sync,fp16;blocks=36;matmul=4096,3,33,read,0.518514400
